domain	utterance	semantic_parse
weather	On 2002-08-10 23:02:28.091856, was it windy at 429 Kinzey Turnpike in Rankine?	[IN:GET_WEATHER On [SL:DATE_TIME 2002-08-10 23 : 02 : 28.091856 ] , was it [SL:WEATHER_ATTRIBUTE windy ] at [SL:LOCATION 429 Kinzey Turnpike ] in [SL:WEATHER_TEMPERATURE_UNIT Rankine ] ? ]
weather	What does the sunset look like at 1094 Bannock Extension when it's foggy?	[IN:GET_SUNSET What does the sunset look like at [SL:LOCATION 1094 Bannock Extension ] when it 's [SL:WEATHER foggy ] ? ]
weather	On 1984-09-10 20:08:55.099913, it was humid at 84 Darien Lake.	[IN:GET_SUNRISE On [SL:DATE_TIME 1984-09-10 20 : 08 : 55.099913 ] , it was [SL:WEATHER humid ] at [SL:LOCATION 84 Darien Lake ] . ]
weather	Please locate downtown Tokyo, within a 50 kilometers radius.	[IN:GET_LOCATION Please locate [SLLOCATION_MODIFIER downtown ] [SL:LOCATION_USER Tokyo ] , within a [SL:SEARCH_RADIUS 50 kilometers ] radius . ]
weather	I wonder about the sunrise at 433 Danvers Rapids on 1989-04-02 03:43:39.800205.	[IN:GET_SUNRISE I wonder about the sunrise at [SL:LOCATION 433 Danvers Rapids ] on [SL:DATE_TIME 1989-04-02 03 : 43 : 39.800205 ] . ]
weather	Is the weather clear today?	[IN:GET_WEATHER Is the weather [SL:WEATHER_ATTRIBUTE clear ] today ? ]
weather	Is it cold and windy at 640 Kohler Parkway?	[IN:GET_WEATHER Is it [SL:WEATHER cold ] and [SL:WEATHER_ATTRIBUTE windy ] at [SL:LOCATION 640 Kohler Parkway ] ? ]
weather	Please search for any location in 10 miles.	[IN:GET_LOCATION Please search for any location in [SL:SEARCH_RADIUS 10 miles ] . ]
weather	Despite the stormy weather, can we see sunset at 509 Perine Ferry?	[IN:GET_SUNSET Despite the [SL:WEATHER stormy ] weather, can we see sunset at [SL:LOCATION 509 Perine Ferry ] ? ]
weather	Can you tell me the sunrise time for 1995-05-01 14:20:39.814354?	[IN:GET_SUNRISE Can you tell me the sunrise time for [SL:DATE_TIME 1995-05-01 14 : 20 : 39.814354 ] ? ]
weather	Please locate a place in Paris, just 1 mile by the lake.	[IN:GET_LOCATION Please locate a place in [SL:LOCATION_USER Paris ] , just [SL:SEARCH_RADIUS 1 mile ] [SLLOCATION_MODIFIER by the lake ] . ]
weather	There are places we can locate within 3 miles.	[IN:GET_LOCATION There are places we can locate within [SL:SEARCH_RADIUS 3 miles ] . ]
weather	Could you tell me what's in the city center of Sydney, within a 25 miles radius?	[IN:GET_LOCATION Could you tell me what 's [SLLOCATION_MODIFIER in the city center ] of [SL:LOCATION_USER Sydney ] , within a [SL:SEARCH_RADIUS 25 miles ] radius ? ]
weather	Can you find locations in Paris within 10 miles?	[IN:GET_LOCATION Can you find locations in [SL:LOCATION_USER Paris ] within [SL:SEARCH_RADIUS 10 miles ] ? ]
weather	Is your location in Mumbai?	[IN:GET_LOCATION Is your location in [SL:LOCATION_USER Mumbai ] ? ]
weather	Can you find something in Toronto, 15 miles away?	[IN:GET_LOCATION Can you find something in [SL:LOCATION_USER Toronto ] , [SL:SEARCH_RADIUS 15 miles ] away ? ]
weather	Is the weather stormy and hot?	[IN:GET_WEATHER Is the weather [SL:WEATHER_ATTRIBUTE stormy ] and [SL:WEATHER hot ] ? ]
weather	Can you find places 15 miles around Sydney?	[IN:GET_LOCATION Can you find places [SL:SEARCH_RADIUS 15 miles ] around [SL:LOCATION_USER Sydney ] ? ]
weather	Can you find places 200 kilometers in the suburbs?	[IN:GET_LOCATION Can you find places [SL:SEARCH_RADIUS 200 kilometers ] [SLLOCATION_MODIFIER in the suburbs ] ? ]
weather	Can you find locations in London, 50 meters away?	[IN:GET_LOCATION Can you find locations in [SL:LOCATION_USER London ] , [SL:SEARCH_RADIUS 50 meters ] away ? ]
weather	Can you tell me the temperature in Réaumur at 427 Roscoe Turnpike?	[IN:GET_WEATHER Can you tell me the temperature in [SL:WEATHER_TEMPERATURE_UNIT Réaumur ] at [SL:LOCATION 427 Roscoe Turnpike ] ? ]
weather	I'm curious about the sunset time at 930 Palm Turnpike.	[IN:GET_SUNSET I 'm curious about the sunset time at [SL:LOCATION 930 Palm Turnpike ] . ]
weather	Is it cloudy during the sunrise?	[IN:GET_SUNRISE Is it [SL:WEATHER cloudy ] during the sunrise ? ]
weather	I wonder what time sunrise occurred at 1208 South Hill Pass on 1973-11-10 08:07:33.880822.	[IN:GET_SUNRISE I wonder what time sunrise occurred at [SL:LOCATION 1208 South Hill Pass ] on [SL:DATE_TIME 1973-11-10 08 : 07 : 33.880822 ] . ]
weather	I need to know the location within 5 kilometers of Sydney.	[IN:GET_LOCATION I need to know the location within [SL:SEARCH_RADIUS 5 kilometers ] of [SL:LOCATION_USER Sydney ] . ]
weather	I would like to know the weather in Joules.	[IN:GET_WEATHER I would like to know the weather in [SL:WEATHER_TEMPERATURE_UNIT Joules ] . ]
weather	Are you at the airport?	[IN:GET_LOCATION Are you [SLLOCATION_MODIFIER at the airport ] ? ]
weather	I want to know when sunrise occurred at 161 Huntington Extension on 1994-11-22 07:08:51.072051.	[IN:GET_SUNRISE I want to know when sunrise occurred at [SL:LOCATION 161 Huntington Extension ] on [SL:DATE_TIME 1994-11-22 07 : 08 : 51.072051 ] . ]
weather	The weather seems quite hot and foggy today.	[IN:GET_WEATHER The weather seems quite [SL:WEATHER_ATTRIBUTE hot ] and [SL:WEATHER foggy ] today . ]
weather	Will the sunrise be windy?	[IN:GET_SUNRISE Will the sunrise be [SL:WEATHER windy ] ? ]
weather	Where is Sydney within 200 meters?	[IN:GET_LOCATION Where is [SL:LOCATION_USER Sydney ] within [SL:SEARCH_RADIUS 200 meters ] ? ]
weather	I am curious to know the location.	[IN:GET_LOCATION I am curious to know the location . ]
weather	Is sunrise at 927 Tiffany Trace rainy?	[IN:GET_SUNRISE Is sunrise at [SL:LOCATION 927 Tiffany Trace ] [SL:WEATHER rainy ] ? ]
weather	Please provide the details about sunrise at 151 Perine Crossing.	[IN:GET_SUNRISE Please provide the details about sunrise at [SL:LOCATION 151 Perine Crossing ] . ]
weather	I wonder what time the sunset occurs at 444 Southwood Place on 2008-04-06 20:36:29.242043.	[IN:GET_SUNSET I wonder what time the sunset occurs at [SL:LOCATION 444 Southwood Place ] on [SL:DATE_TIME 2008-04-06 20 : 36 : 29.242043 ] . ]
weather	What can you locate in the mountains of London 20 meters away?	[IN:GET_LOCATION What can you locate [SLLOCATION_MODIFIER in the mountains ] of [SL:LOCATION_USER London ] [SL:SEARCH_RADIUS 20 meters ] away ? ]
weather	I want to know the sunset timing at 409 Battery Chamberlin Alley.	[IN:GET_SUNSET I want to know the sunset timing at [SL:LOCATION 409 Battery Chamberlin Alley ] . ]
weather	I would like to know the sunset time for 814 Mint Motorway, please.	[IN:GET_SUNSET I would like to know the sunset time for [SL:LOCATION 814 Mint Motorway ] , please . ]
weather	Please help me find the location within 100 meters.	[IN:GET_LOCATION Please help me find the location within [SL:SEARCH_RADIUS 100 meters ] . ]
weather	What time is the sunset at 1065 Ada Square?	[IN:GET_SUNSET What time is the sunset at [SL:LOCATION 1065 Ada Square ] ? ]
weather	Please search for places on the outskirts of Toronto, within 50 kilometers.	[IN:GET_LOCATION Please search for places [SLLOCATION_MODIFIER on the outskirts ] of [SL:LOCATION_USER Toronto ] , within [SL:SEARCH_RADIUS 50 kilometers ] . ]
weather	Can you tell me the weather?	[IN:GET_WEATHER Can you tell me the weather ? ]
weather	Is Toronto near the coast?	[IN:GET_LOCATION Is [SL:LOCATION_USER Toronto ] [SLLOCATION_MODIFIER near the coast ] ? ]
weather	The sunset might be obscured at 598 Encinal Highway since it's cloudy.	[IN:GET_SUNSET The sunset might be obscured at [SL:LOCATION 598 Encinal Highway ] since it 's [SL:WEATHER cloudy ] . ]
weather	Could you tell me if it's overcast?	[IN:GET_WEATHER Could you tell me if it 's [SL:WEATHER_ATTRIBUTE overcast ] ? ]
weather	What's the weather at 641 Roosevelt Boulevard?	[IN:GET_WEATHER What 's the weather at [SL:LOCATION 641 Roosevelt Boulevard ] ? ]
weather	Is it hot at sunrise?	[IN:GET_SUNRISE Is it [SL:WEATHER hot ] at sunrise ? ]
weather	Can you tell me when sunset occurs at 1218 Martin Luther King Jr Heights?	[IN:GET_SUNSET Can you tell me when sunset occurs at [SL:LOCATION 1218 Martin Luther King Jr Heights ] ? ]
weather	The sunrise can be beautiful even when it's foggy.	[IN:GET_SUNRISE The sunrise can be beautiful even when it 's [SL:WEATHER foggy ] . ]
weather	Could you tell me sunrise time for 756 Pinto Bend?	[IN:GET_SUNRISE Could you tell me sunrise time for [SL:LOCATION 756 Pinto Bend ] ? ]
weather	The sunset occurred at 2008-11-18 11:59:17.090527.	[IN:GET_SUNSET The sunset occurred at [SL:DATE_TIME 2008-11-18 11 : 59 : 17.090527 ] . ]
weather	On 1982-07-11 02:11:08.844940, was it windy at 97 Sloat Hills in Gas Mark?	[IN:GET_WEATHER On [SL:DATE_TIME 1982-07-11 02 : 11 : 08.844940 ] , was it [SL:WEATHER_ATTRIBUTE windy ] at [SL:LOCATION 97 Sloat Hills ] in [SL:WEATHER_TEMPERATURE_UNIT Gas Mark ] ? ]
weather	Is there a location 5 miles near the coast?	[IN:GET_LOCATION Is there a location [SL:SEARCH_RADIUS 5 miles ] [SLLOCATION_MODIFIER near the coast ] ? ]
weather	Is it foggy at 41 Encanto Row?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE foggy ] at [SL:LOCATION 41 Encanto Row ] ? ]
weather	Can we check the Réaumur weather when it's stormy?	[IN:GET_WEATHER Can we check the [SL:WEATHER_TEMPERATURE_UNIT Réaumur ] weather when it 's [SL:WEATHER stormy ] ? ]
weather	Can you tell me when the sun rises at 887 Via Ferlinghetti Rapids?	[IN:GET_SUNRISE Can you tell me when the sun rises at [SL:LOCATION 887 Via Ferlinghetti Rapids ] ? ]
weather	Given the humid weather, what is sunset at 893 Orizaba Bend?	[IN:GET_SUNSET Given the [SL:WEATHER humid ] weather, what is sunset at [SL:LOCATION 893 Orizaba Bend ] ? ]
weather	On a rainy day at 212 Green Walk, is there a sunset?	[IN:GET_SUNSET On a [SL:WEATHER rainy ] day at [SL:LOCATION 212 Green Walk ] , is there a sunset ? ]
weather	Is the weather stormy today?	[IN:GET_WEATHER Is the weather [SL:WEATHER stormy ] today ? ]
weather	Could you tell me the sunrise time for 845 Greely Boulevard?	[IN:GET_SUNRISE Could you tell me the sunrise time for [SL:LOCATION 845 Greely Boulevard ] ? ]
weather	Does a sunny day indicate a lovely sunrise?	[IN:GET_SUNRISE Does a [SL:WEATHER sunny ] day indicate a lovely sunrise ? ]
weather	Could you determine the location within 50 kilometers?	[IN:GET_LOCATION Could you determine the location within [SL:SEARCH_RADIUS 50 kilometers ] ? ]
weather	Is the weather snowy?	[IN:GET_WEATHER Is the weather [SL:WEATHER snowy ] ? ]
weather	Is your location Toronto in the suburbs?	[IN:GET_LOCATION Is your location [SL:LOCATION_USER Toronto ] [SLLOCATION_MODIFIER in the suburbs ] ? ]
weather	Does London lie in the city center?	[IN:GET_LOCATION Does [SL:LOCATION_USER London ] lie [SLLOCATION_MODIFIER in the city center ] ? ]
weather	Is 1129 Mulford Lodge windy and sunny?	[IN:GET_WEATHER Is [SL:LOCATION 1129 Mulford Lodge ] [SL:WEATHER_ATTRIBUTE windy ] and [SL:WEATHER sunny ] ? ]
weather	What time is sunset at 560 Kalmanovitz Plaza?	[IN:GET_SUNSET What time is sunset at [SL:LOCATION 560 Kalmanovitz Plaza ] ? ]
weather	On a snowy day, what was the sunrise time at 719 Carl Path on 1974-03-17 15:00:06.442947?	[IN:GET_SUNRISE On a [SL:WEATHER snowy ] day, what was the sunrise time at [SL:LOCATION 719 Carl Path ] on [SL:DATE_TIME 1974-03-17 15 : 00 : 06.442947 ] ? ]
weather	Is the sunset at 632 East Creek?	[IN:GET_SUNSET Is the sunset at [SL:LOCATION 632 East Creek ] ? ]
weather	What places are available within 30 miles of Mumbai?	[IN:GET_LOCATION What places are available within [SL:SEARCH_RADIUS 30 miles ] of [SL:LOCATION_USER Mumbai ] ? ]
weather	Is Berlin near the coast?	[IN:GET_LOCATION Is [SL:LOCATION_USER Berlin ] [SLLOCATION_MODIFIER near the coast ] ? ]
weather	Could it be both hot and rainy?	[IN:GET_WEATHER Could it be both [SL:WEATHER_ATTRIBUTE hot ] and [SL:WEATHER rainy ] ? ]
weather	I wonder if the weather is both overcast and rainy today.	[IN:GET_WEATHER I wonder if the weather is both [SL:WEATHER_ATTRIBUTE overcast ] and [SL:WEATHER rainy ] today . ]
weather	I would like to know the sunrise at 937 Shafter Extension on a humid day.	[IN:GET_SUNRISE I would like to know the sunrise at [SL:LOCATION 937 Shafter Extension ] on a [SL:WEATHER humid ] day . ]
weather	Is Tokyo located in the mountains?	[IN:GET_LOCATION Is [SL:LOCATION_USER Tokyo ] located [SLLOCATION_MODIFIER in the mountains ] ? ]
weather	The sunrise at 347 Music Concourse Access Plaza is affected by the windy weather.	[IN:GET_SUNRISE The sunrise at [SL:LOCATION 347 Music Concourse Access Plaza ] is affected by the [SL:WEATHER windy ] weather . ]
weather	At 71 Jackson Landing, what's the Gas Mark for sunny weather?	[IN:GET_WEATHER At [SL:LOCATION 71 Jackson Landing ] , what 's the [SL:WEATHER_TEMPERATURE_UNIT Gas Mark ] for [SL:WEATHER sunny ] weather ? ]
weather	I'm curious about the humid conditions measured in Kelvin.	[IN:GET_WEATHER I 'm curious about the [SL:WEATHER_ATTRIBUTE humid ] conditions measured in [SL:WEATHER_TEMPERATURE_UNIT Kelvin ] . ]
weather	I would like to know the sunrise time at 5 Attridge Extension.	[IN:GET_SUNRISE I would like to know the sunrise time at [SL:LOCATION 5 Attridge Extension ] . ]
weather	There must be something interesting 2 miles in the valley.	[IN:GET_LOCATION There must be something interesting [SL:SEARCH_RADIUS 2 miles ] [SLLOCATION_MODIFIER in the valley ] . ]
weather	Where is the location within 20 blocks?	[IN:GET_LOCATION Where is the location within [SL:SEARCH_RADIUS 20 blocks ] ? ]
weather	I'm curious about the sunset time at 301 Stanton Park on 1997-03-24 09:53:33.465274.	[IN:GET_SUNSET I 'm curious about the sunset time at [SL:LOCATION 301 Stanton Park ] on [SL:DATE_TIME 1997-03-24 09 : 53 : 33.465274 ] . ]
weather	On humid days, sunset views at 1270 Reardon Arcade are special.	[IN:GET_SUNSET On [SL:WEATHER humid ] days, sunset views at [SL:LOCATION 1270 Reardon Arcade ] are special . ]
weather	I'm curious about the weather on 2005-08-24 19:40:00.786398.	[IN:GET_WEATHER I 'm curious about the weather on [SL:DATE_TIME 2005-08-24 19 : 40 : 00.786398 ] . ]
weather	I'm looking for locations in the valley, specifically 15 miles from New York.	[IN:GET_LOCATION I 'm looking for locations [SLLOCATION_MODIFIER in the valley ] , specifically [SL:SEARCH_RADIUS 15 miles ] from [SL:LOCATION_USER New York ] . ]
weather	On a snowy day at 59 Dawson Ranch, is the sunset beautiful?	[IN:GET_SUNSET On a [SL:WEATHER snowy ] day at [SL:LOCATION 59 Dawson Ranch ] , is the sunset beautiful ? ]
weather	Considering the cold weather, when is sunrise at 649 Howth Viaduct?	[IN:GET_SUNRISE Considering the [SL:WEATHER cold ] weather, when is sunrise at [SL:LOCATION 649 Howth Viaduct ] ? ]
weather	Can you tell me the sunset time at 1262 Graymalkin Manor on 1984-11-27 11:38:06.215600?	[IN:GET_SUNSET Can you tell me the sunset time at [SL:LOCATION 1262 Graymalkin Manor ] on [SL:DATE_TIME 1984-11-27 11 : 38 : 06.215600 ] ? ]
weather	Is Toronto on the outskirts?	[IN:GET_LOCATION Is [SL:LOCATION_USER Toronto ] [SLLOCATION_MODIFIER on the outskirts ] ? ]
weather	Can you tell me the sunrise time at 174 Cyrus Annex, considering snow is likely next week?	[IN:GET_SUNRISE Can you tell me the sunrise time at [SL:LOCATION 174 Cyrus Annex ] , considering [SL:WEATHER snow is likely next week ] ? ]
weather	Can you tell me the sunrise time for 482 Golding Ranch?	[IN:GET_SUNRISE Can you tell me the sunrise time for [SL:LOCATION 482 Golding Ranch ] ? ]
weather	I'm curious about the Romer temperature at 382 Fourth Field.	[IN:GET_WEATHER I 'm curious about the [SL:WEATHER_TEMPERATURE_UNIT Romer ] temperature at [SL:LOCATION 382 Fourth Field ] . ]
weather	What places are located in the mountains around Berlin, within 100 kilometers?	[IN:GET_LOCATION What places are located [SLLOCATION_MODIFIER in the mountains ] around [SL:LOCATION_USER Berlin ] , within [SL:SEARCH_RADIUS 100 kilometers ] ? ]
weather	On 2007-04-30 03:54:10.189787, what time will it be at 1219 Anglo Mall when the sun rises?	[IN:GET_SUNRISE On [SL:DATE_TIME 2007-04-30 03 : 54 : 10.189787 ] , what time will it be at [SL:LOCATION 1219 Anglo Mall ] when the sun rises ? ]
weather	What's near London in 50 kilometers?	[IN:GET_LOCATION What 's near [SL:LOCATION_USER London ] in [SL:SEARCH_RADIUS 50 kilometers ] ? ]
weather	I'm curious about the weather's Réaumur temperature now.	[IN:GET_WEATHER I 'm curious about the weather 's [SL:WEATHER_TEMPERATURE_UNIT Réaumur ] temperature now . ]
weather	I'm searching for spots on the outskirts of Los Angeles within 50 kilometers.	[IN:GET_LOCATION I 'm searching for spots [SLLOCATION_MODIFIER on the outskirts ] of [SL:LOCATION_USER Los Angeles ] within [SL:SEARCH_RADIUS 50 kilometers ] . ]
weather	Can you tell me the location in 30 kilometers?	[IN:GET_LOCATION Can you tell me the location in [SL:SEARCH_RADIUS 30 kilometers ] ? ]
weather	At 806 Oak Mall, will the sunrise be visible on cloudy days?	[IN:GET_SUNRISE At [SL:LOCATION 806 Oak Mall ] , will the sunrise be visible on [SL:WEATHER cloudy ] days ? ]
weather	I'm curious about the sunrise at 80 Jarboe Cove on 2024-07-09 20:15:55.244354.	[IN:GET_SUNRISE I 'm curious about the sunrise at [SL:LOCATION 80 Jarboe Cove ] on [SL:DATE_TIME 2024-07-09 20 : 15 : 55.244354 ] . ]
weather	Where are you in the desert?	[IN:GET_LOCATION Where are you [SLLOCATION_MODIFIER in the desert ] ? ]
weather	Can you tell me if 14 Hooper Hills is hot and windy?	[IN:GET_WEATHER Can you tell me if [SL:LOCATION 14 Hooper Hills ] is [SL:WEATHER_ATTRIBUTE hot ] and [SL:WEATHER windy ] ? ]
weather	Is the search radius 20 miles?	[IN:GET_LOCATION Is the search radius [SL:SEARCH_RADIUS 20 miles ] ? ]
weather	I need to know the location of Mumbai, specifically 10 miles in the city center.	[IN:GET_LOCATION I need to know the location of [SL:LOCATION_USER Mumbai ] , specifically [SL:SEARCH_RADIUS 10 miles ] [SLLOCATION_MODIFIER in the city center ] . ]
weather	I suggest searching 100 meters at the beach.	[IN:GET_LOCATION I suggest searching [SL:SEARCH_RADIUS 100 meters ] [SLLOCATION_MODIFIER at the beach ] . ]
weather	Can you check if it hailed at 225 Spruce Estate on 2023-05-28 16:18:45.995105?	[IN:GET_WEATHER Can you check if it [SL:WEATHER_ATTRIBUTE hail ] ed at [SL:LOCATION 225 Spruce Estate ] on [SL:DATE_TIME 2023-05-28 16 : 18 : 45.995105 ] ? ]
weather	Will it be cold when the sun sets?	[IN:GET_SUNSET Will it be [SL:WEATHER cold ] when the sun sets ? ]
weather	On snowy evenings, what time does sunset occur at 803 Verdun Viaduct?	[IN:GET_SUNSET On [SL:WEATHER snowy ] evenings, what time does sunset occur at [SL:LOCATION 803 Verdun Viaduct ] ? ]
weather	Please inform me of the sunrise time at 766 Mccormick Mall on a windy day.	[IN:GET_SUNRISE Please inform me of the sunrise time at [SL:LOCATION 766 Mccormick Mall ] on a [SL:WEATHER windy ] day . ]
weather	Where is Los Angeles on the outskirts?	[IN:GET_LOCATION Where is [SL:LOCATION_USER Los Angeles ] [SLLOCATION_MODIFIER on the outskirts ] ? ]
weather	I wonder if the weather is cloudy at 988 Head Rapids today.	[IN:GET_WEATHER I wonder if the weather is [SL:WEATHER cloudy ] at [SL:LOCATION 988 Head Rapids ] today . ]
weather	What can you discover within 50 kilometers of Los Angeles?	[IN:GET_LOCATION What can you discover within [SL:SEARCH_RADIUS 50 kilometers ] of [SL:LOCATION_USER Los Angeles ] ? ]
weather	I wonder about the sunset time at 148 Anderson Turnpike during summer.	[IN:GET_SUNSET I wonder about the sunset time at [SL:LOCATION 148 Anderson Turnpike ] during summer . ]
weather	Can we see the sunset from 1317 Connecticut Canyon?	[IN:GET_SUNSET Can we see the sunset from [SL:LOCATION 1317 Connecticut Canyon ] ? ]
weather	Is it cold at 414 Eve Lane?	[IN:GET_WEATHER Is it [SL:WEATHER cold ] at [SL:LOCATION 414 Eve Lane ] ? ]
weather	We need to find locations at the airport within 10 miles.	[IN:GET_LOCATION We need to find locations [SLLOCATION_MODIFIER at the airport ] within [SL:SEARCH_RADIUS 10 miles ] . ]
weather	At 730 Cosmo Row, sunrise occurs during hot weather.	[IN:GET_SUNRISE At [SL:LOCATION 730 Cosmo Row ] , sunrise occurs during [SL:WEATHER hot ] weather . ]
weather	Is the humid weather in Rankine?	[IN:GET_WEATHER Is the [SL:WEATHER_ATTRIBUTE humid ] weather in [SL:WEATHER_TEMPERATURE_UNIT Rankine ] ? ]
weather	Are you by the river?	[IN:GET_LOCATION Are you [SLLOCATION_MODIFIER by the river ] ? ]
weather	Can you tell me the windy conditions at 998 Shipley Shore in Fahrenheit?	[IN:GET_WEATHER Can you tell me the [SL:WEATHER windy ] conditions at [SL:LOCATION 998 Shipley Shore ] in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ? ]
weather	Please provide the weather details for 1980-02-27 18:37:19.774697 at 379 Medau Bayou.	[IN:GET_WEATHER Please provide the weather details for [SL:DATE_TIME 1980-02-27 18 : 37 : 19.774697 ] at [SL:LOCATION 379 Medau Bayou ] . ]
weather	At 1018 Adam Trail, the weather is chilly and cloudy.	[IN:GET_WEATHER At [SL:LOCATION 1018 Adam Trail ] , the weather is [SL:WEATHER_ATTRIBUTE chilly ] and [SL:WEATHER cloudy ] . ]
weather	Can you tell me if it's snowy and overcast in Réaumur?	[IN:GET_WEATHER Can you tell me if it 's [SL:WEATHER snowy ] and [SL:WEATHER_ATTRIBUTE overcast ] in [SL:WEATHER_TEMPERATURE_UNIT Réaumur ] ? ]
weather	Is it snowy at 196 Hotaling Lodge in Fahrenheit?	[IN:GET_WEATHER Is it [SL:WEATHER snowy ] at [SL:LOCATION 196 Hotaling Lodge ] in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ? ]
weather	Is this place close to the airport?	[IN:GET_LOCATION Is this place [SLLOCATION_MODIFIER close to the airport ] ? ]
weather	What can be discovered within 100 meters in Mumbai?	[IN:GET_LOCATION What can be discovered within [SL:SEARCH_RADIUS 100 meters ] in [SL:LOCATION_USER Mumbai ] ? ]
weather	What time is sunrise at 639 Palos Path?	[IN:GET_SUNRISE What time is sunrise at [SL:LOCATION 639 Palos Path ] ? ]
weather	Where in downtown Los Angeles is 100 meters?	[IN:GET_LOCATION Where in [SLLOCATION_MODIFIER downtown ] [SL:LOCATION_USER Los Angeles ] is [SL:SEARCH_RADIUS 100 meters ] ? ]
weather	I wonder if you know the sunset time at 821 Hoff Crossing.	[IN:GET_SUNSET I wonder if you know the sunset time at [SL:LOCATION 821 Hoff Crossing ] . ]
weather	Is it drizzling and cold at 639 Townsend Expressway?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE drizzling ] and [SL:WEATHER cold ] at [SL:LOCATION 639 Townsend Expressway ] ? ]
weather	Can you tell me the sunset time for 344 Diamond Cove Rapids?	[IN:GET_SUNSET Can you tell me the sunset time for [SL:LOCATION 344 Diamond Cove Rapids ] ? ]
weather	The sunset looks beautiful at 614 Melrose Pass today.	[IN:GET_SUNSET The sunset looks beautiful at [SL:LOCATION 614 Melrose Pass ] today . ]
weather	Is the weather sunny today?	[IN:GET_WEATHER Is the weather [SL:WEATHER sunny ] today ? ]
weather	During stormy weather, when does the sun rise at 81 Miley Avenue?	[IN:GET_SUNRISE During [SL:WEATHER stormy ] weather, when does the sun rise at [SL:LOCATION 81 Miley Avenue ] ? ]
weather	What does the foggy weather report say in Celsius?	[IN:GET_WEATHER What does the [SL:WEATHER_ATTRIBUTE foggy ] weather report say in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	Is it humid and hot at 1215 Wabash Bayou?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE humid ] and [SL:WEATHER hot ] at [SL:LOCATION 1215 Wabash Bayou ] ? ]
weather	I wonder if it's windy at 909 Golding Crescent right now.	[IN:GET_WEATHER I wonder if it 's [SL:WEATHER windy ] at [SL:LOCATION 909 Golding Crescent ] right now . ]
weather	What time is sunrise at 779 Clifford Road?	[IN:GET_SUNRISE What time is sunrise at [SL:LOCATION 779 Clifford Road ] ? ]
weather	The sunrise at 1270 Farnum Bayou is stunning in hot weather.	[IN:GET_SUNRISE The sunrise at [SL:LOCATION 1270 Farnum Bayou ] is stunning in [SL:WEATHER hot ] weather . ]
weather	Is it drizzly at 782 Cambon Ferry in Newton?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE drizzly ] at [SL:LOCATION 782 Cambon Ferry ] in [SL:WEATHER_TEMPERATURE_UNIT Newton ] ? ]
weather	At 1281 Webster Road, I expect a cloudy sunset.	[IN:GET_SUNSET At [SL:LOCATION 1281 Webster Road ] , I expect a [SL:WEATHER cloudy ] sunset . ]
